time,S,Z,R,I
799,109,51,42,2
800,109,51,42,2
801,110,51,42,2
802,110,51,42,2
803,110,51,42,2
804,110,51,42,2
805,110,51,42,2
806,110,51,42,2
807,110,51,42,2
808,110,51,42,2
809,111,51,42,2
810,111,51,42,2
811,111,51,42,2
812,111,51,42,2
813,111,51,42,2
814,113,51,42,2
815,113,51,42,2
816,113,51,42,2
817,114,51,42,2
818,114,51,42,2
819,114,51,42,2
820,114,51,42,2
821,114,51,42,2
822,114,51,42,2
823,114,51,42,2
824,114,51,42,2
825,114,51,42,2
826,114,51,42,2
827,114,51,42,2
828,114,51,42,2
829,114,50,43,2
830,114,50,43,2
831,114,50,43,2
832,114,50,43,2
833,114,50,43,2
834,114,50,43,2
835,115,50,43,2
836,115,50,43,2
837,116,50,43,2
838,116,50,43,2
839,115,50,43,2
840,115,50,43,2
841,115,50,43,2
842,116,50,43,2
843,116,50,43,2
844,116,50,43,2
845,116,50,43,2
846,116,50,43,2
847,116,50,43,2
848,116,50,43,2
849,116,50,43,2
850,116,50,43,2
851,116,50,43,2
852,116,50,43,2
853,117,50,43,2
854,118,50,43,2
855,119,50,43,2
856,119,50,43,2
857,119,50,43,2
858,119,50,43,2
859,119,49,44,2
860,119,49,44,2
861,118,49,44,2
862,118,49,44,2
863,118,49,44,2
864,118,50,44,2
865,119,50,44,2
866,119,50,44,2
867,120,50,44,2
868,120,50,44,2
869,120,50,44,2
870,120,50,44,2
871,121,50,44,2
872,122,50,44,2
873,122,50,44,2
874,122,50,44,2
875,122,50,44,2
876,123,50,44,2
877,123,50,44,2
878,123,50,44,2
879,123,50,44,2
880,123,50,44,2
881,123,50,44,2
882,123,50,44,2
883,123,50,44,2
884,123,50,44,2
885,123,49,45,2
886,122,48,46,2
887,122,48,46,2
888,122,48,46,2
889,122,48,46,2
890,122,48,46,2
891,122,48,46,2
892,122,48,46,2
893,122,48,46,2
894,122,48,46,2
895,122,48,46,2
896,122,48,46,2
897,122,48,46,2
898,122,48,46,2
899,122,48,46,2
900,122,48,46,2
901,122,47,47,2
902,121,47,47,2
903,121,47,47,2
904,121,47,47,2
905,122,47,47,2
906,122,48,47,2
907,122,48,47,2
908,122,48,47,2
909,122,48,47,2
910,122,48,47,2
911,123,48,47,2
912,124,48,47,2
913,124,48,47,2
914,123,48,47,2
915,124,48,47,2
916,124,48,47,2
917,124,48,47,2
918,126,48,47,2
919,126,48,47,2
920,126,48,47,2
921,128,48,47,2
922,128,48,47,2
923,128,48,47,2
924,128,48,47,2
925,128,48,47,2
926,128,47,48,2
927,128,48,48,2
928,128,48,48,2
929,128,48,48,2
930,128,48,48,2
931,128,48,48,2
932,128,48,48,2
933,128,48,48,2
934,128,48,48,2
935,128,48,48,2
936,128,48,48,2
937,128,48,48,2
938,128,48,48,2
939,128,48,48,2
940,128,49,48,2
941,128,49,48,2
942,128,49,48,2
943,128,49,48,2
944,128,49,48,2
945,128,49,48,2
946,130,49,48,2
947,130,49,48,2
948,131,49,48,2
949,131,49,48,2
950,131,49,48,2
951,131,49,48,2
952,132,49,48,2
953,132,49,48,2
954,132,49,48,2
955,133,49,48,2
956,134,49,48,2
957,135,49,48,2
958,135,49,48,2
959,135,49,48,2
960,135,49,48,2
961,136,49,48,2
962,135,49,48,2
963,135,49,48,2
964,135,49,48,2
965,135,48,49,2
966,137,48,49,2
967,137,48,49,2
968,138,48,49,2
969,138,48,49,2
970,140,48,49,2
971,140,48,49,2
972,141,48,49,2
973,141,48,49,2
974,141,48,49,2
975,141,48,49,2
976,141,48,49,2
977,142,48,49,2
978,142,48,49,2
979,142,48,49,2
980,144,48,49,2
981,145,48,49,2
982,145,48,49,2
983,145,48,49,2
984,145,48,49,2
985,145,48,49,2
986,145,48,49,2
987,145,48,49,2
988,145,48,49,2
989,146,48,49,2
990,146,48,49,2
991,146,48,49,2
992,146,48,49,2
993,146,48,49,2
994,147,48,49,2
995,147,48,49,2
996,147,48,49,2
997,147,48,49,2
998,147,48,49,2
999,147,48,49,2
1000,147,48,49,2
1001,147,48,49,2
1002,147,48,49,2
1003,147,48,49,2
1004,148,48,49,2
1005,148,48,49,2
1006,148,48,49,2
1007,148,48,49,2
1008,148,48,49,2
1009,148,48,49,2
1010,148,48,49,2
1011,148,48,49,2
1012,148,48,49,2
1013,149,48,49,2
1014,150,48,49,2
1015,150,48,49,2
1016,150,48,49,2
1017,150,48,49,2
1018,152,48,49,2
1019,153,48,49,2
1020,153,48,49,2
1021,153,48,49,2
1022,153,48,49,2
1023,153,48,49,2
1024,153,48,49,2
1025,153,48,49,2
1026,153,48,49,2
1027,153,48,49,2
1028,153,48,49,2
1029,153,48,49,2
1030,153,48,49,2
1031,154,48,49,2
1032,154,48,49,2
1033,154,48,49,2
1034,154,48,49,2
1035,154,48,49,2
1036,154,48,49,2
1037,154,48,49,2
1038,154,48,49,2
1039,154,48,49,2
1040,155,48,49,2
1041,155,48,49,2
1042,155,48,49,2
1043,155,48,49,2
1044,155,48,49,2
1045,155,48,49,2
1046,155,48,49,2
1047,156,48,49,2
1048,156,48,49,2
1049,156,48,49,2
1050,157,48,49,2
1051,157,48,49,2
1052,160,48,49,2
1053,160,48,49,2
1054,160,48,49,2
1055,161,48,49,2
1056,162,48,49,2
1057,162,48,49,2
1058,163,48,49,2
1059,163,48,49,2
1060,163,48,49,2
1061,164,48,49,2
1062,164,48,49,2
1063,164,48,49,2
1064,164,48,49,2
1065,165,48,49,2
1066,165,48,49,2
1067,165,48,49,2
1068,165,48,49,2
1069,165,48,49,2
1070,165,48,49,2
1071,165,48,49,2
1072,165,48,49,2
1073,165,48,49,2
1074,165,48,49,2
1075,165,48,49,2
1076,165,48,49,2
1077,166,48,49,2
1078,166,48,49,2
1079,166,48,49,2
1080,167,48,49,2
1081,167,48,49,2
1082,167,48,49,2
1083,167,48,49,2
1084,167,48,49,2
1085,167,48,49,2
1086,168,48,49,2
1087,168,48,49,2
1088,168,48,49,2
1089,168,48,49,2
1090,168,48,49,2
1091,168,48,49,2
1092,168,48,49,2
1093,168,48,49,2
1094,168,48,49,2
1095,169,48,49,2
1096,169,48,49,2
1097,169,48,49,2
1098,170,48,49,2
1099,170,48,49,2
1100,170,48,49,2
1101,170,48,49,2
1102,170,48,49,2
1103,171,48,49,2
1104,171,48,49,2
1105,172,48,49,2
1106,172,48,49,2
1107,172,48,49,2
1108,172,48,49,2
1109,172,48,49,2
1110,173,48,49,2
1111,173,48,49,2
1112,173,48,49,2
1113,173,48,49,2
1114,174,48,49,2
1115,174,48,49,2
1116,174,48,49,2
1117,174,48,49,2
1118,174,48,49,2
1119,174,48,49,2
1120,174,48,49,2
1121,174,48,49,2
1122,174,48,49,2
1123,174,48,49,2
1124,174,48,49,2
1125,174,48,49,2
1126,174,48,49,2
1127,174,48,49,2
1128,174,48,49,2
1129,174,48,49,2
1130,174,48,49,2
1131,174,48,49,2
1132,174,48,49,2
1133,174,48,49,2
1134,176,48,49,2
1135,176,48,49,2
1136,176,48,49,2
1137,178,48,49,2
1138,178,48,49,2
1139,179,48,49,2
1140,181,48,49,2
1141,181,48,49,2
1142,181,48,49,2
1143,181,48,49,2
1144,181,48,49,2
1145,181,48,49,2
1146,182,48,49,2
1147,182,48,49,2
1148,183,48,49,2
1149,183,48,49,2
1150,183,48,49,2
1151,183,48,49,2
1152,184,48,49,2
1153,184,48,49,2
1154,184,48,49,2
1155,185,48,49,2
1156,185,48,49,2
1157,185,48,49,2
1158,185,48,49,2
1159,186,48,49,2
1160,186,48,49,2
1161,186,48,49,2
1162,186,48,49,2
1163,186,48,49,2
1164,186,48,49,2
1165,186,48,49,2
1166,187,48,49,2
1167,187,48,49,2
1168,187,48,49,2
1169,187,48,49,2
1170,187,48,49,2
1171,187,48,49,2
1172,189,48,49,2
1173,189,48,49,2
1174,190,48,49,2
1175,190,48,49,2
1176,190,48,49,2
1177,190,48,49,2
1178,190,48,49,2
1179,190,48,49,2
1180,190,48,49,2
1181,191,48,49,2
1182,191,48,49,2
1183,191,48,49,2
1184,192,48,49,2
1185,193,48,49,2
1186,193,48,49,2
1187,193,48,49,2
1188,193,48,49,2
1189,193,48,49,2
1190,193,48,49,2
1191,194,48,49,2
1192,194,48,49,2
1193,194,48,49,2
1194,194,48,49,2
1195,194,48,49,2
1196,194,48,49,2
1197,195,48,49,2
1198,195,48,49,2
1199,195,48,49,2
1200,195,48,49,2
1201,196,48,49,2
1202,196,48,49,2
1203,197,48,49,2
1204,198,48,49,2
1205,198,48,49,2
1206,198,48,49,2
1207,199,48,49,2
1208,199,48,49,2
1209,199,48,49,2
1210,199,48,49,2
1211,199,48,49,2
1212,200,48,49,2
1213,200,48,49,2
1214,201,48,49,2
1215,202,48,49,2
1216,203,48,49,2
1217,204,48,49,2
1218,205,48,49,2
1219,205,48,49,2
1220,205,48,49,2
1221,206,48,49,2
1222,206,48,49,2
1223,206,48,49,2
1224,206,48,49,2
1225,207,48,49,2
1226,208,48,49,2
1227,208,48,49,2
1228,209,48,49,2
1229,209,48,49,2
1230,209,48,49,2
1231,209,48,49,2
1232,210,48,49,2
1233,210,48,49,2
1234,210,48,49,2
1235,211,48,49,2
1236,211,48,49,2
1237,211,48,49,2
1238,212,48,49,2
1239,213,48,49,2
1240,213,48,49,2
1241,213,48,49,2
1242,213,48,49,2
1243,214,48,49,2
1244,214,48,49,2
1245,214,48,49,2
1246,214,48,49,2
1247,215,48,49,2
1248,215,48,49,2
1249,215,48,49,2
1250,216,48,49,2
1251,216,48,49,2
1252,216,48,49,2
1253,216,48,49,2
1254,216,48,49,2
1255,216,48,49,2
1256,218,48,49,2
1257,218,48,49,2
1258,219,48,49,2
1259,219,48,49,2
1260,220,48,49,2
1261,220,48,49,2
1262,222,48,49,2
1263,222,48,49,2
1264,222,48,49,2
1265,222,48,49,2
1266,222,48,49,2
1267,223,48,49,2
1268,224,48,49,2
1269,226,48,49,2
1270,226,48,49,2
1271,226,48,49,2
1272,227,48,49,2
1273,228,48,49,2
1274,228,48,49,2
1275,228,48,49,2
1276,228,48,49,2
1277,228,48,49,2
1278,229,48,49,2
1279,230,48,49,2
1280,230,48,49,2
1281,230,48,49,2
1282,232,48,49,2
1283,233,48,49,2
1284,234,48,49,2
1285,234,48,49,2
1286,234,48,49,2
1287,234,48,49,2
1288,234,48,49,2
1289,234,48,49,2
1290,235,48,49,2
1291,235,48,49,2
1292,235,48,49,2
1293,235,48,49,2
1294,235,48,49,2
1295,236,48,49,2
1296,236,48,49,2
1297,236,48,49,2
1298,237,48,49,2
1299,237,48,49,2
1300,237,48,49,2
1301,239,48,49,2
1302,239,48,49,2
1303,239,48,49,2
1304,239,48,49,2
1305,239,48,49,2
1306,239,48,49,2
1307,239,48,49,2
1308,241,48,49,2
1309,242,48,49,2
1310,242,48,49,2
1311,242,48,49,2
1312,242,48,49,2
1313,242,48,49,2
1314,242,48,49,2
1315,243,48,49,2
1316,243,48,49,2
1317,243,48,49,2
1318,243,48,49,2
1319,243,48,49,2
1320,243,48,49,2
1321,245,48,49,2
1322,245,48,49,2
